"$f_1$, мм","$f_2$, мм","$f_3$, мм","$f_4$, мм",,"$a_0$, мм","$l$, мм",,"$h_1$, дел","$h_2$, дел","$D_1$, мм","$D_2$, мм",,"$h_1 $, дел","$h_2 $, дел",,"$h_1  $, дел","$h_2  $, дел"
79,109,195,283,,275,205,,0.9,2.4,34,13,,0.9,3.5,,0.9,3.7
79,104,190,283,,,,,,,,,,,,,,
